"","X","unique_id","aoi_pix","mn_spa_cvr","periods","na_periods","ts_mean","ts_max","p_mean_ovr","p_max_ovr","p_obs_ovr","snap_case","region","freq.quant"
"6",6,"fl3",9,0.783625730994152,209,35,28.8871487867178,165,0.0334928229665072,0.291866028708134,0.114654002713704,"adjacent","Florida","Q4"
"12",12,"oh1",9,0.666666666666667,209,64,191.907060755337,249,0.574162679425837,0.588516746411483,0.822169059011164,"adjacent","Ohio","Q4"
"20",20,"oh4",9,0.731525784157363,209,51,31.0603023909986,244,0.114832535885167,0.129186602870813,0.152616279069767,"adjacent","Ohio","Q4"
"3",3,"fl2",9,0.796916533758639,209,26,25.1849813513748,170,0.0717703349282297,0.248803827751196,0.128085390260173,"proximate","Florida","Q4"
"7",7,"fl3",9,0.783625730994152,209,35,28.8871487867178,165,0.0334928229665072,0.291866028708134,0.114654002713704,"proximate","Florida","Q4"
"13",13,"oh1",9,0.666666666666667,209,64,191.907060755337,249,0.574162679425837,0.588516746411483,0.822169059011164,"proximate","Ohio","Q4"
"18",18,"oh3",9,0.641679957469431,209,64,194.956258894362,249,0.578947368421053,0.61244019138756,0.83844241922121,"proximate","Ohio","Q4"
"21",21,"oh4",9,0.731525784157363,209,51,31.0603023909986,244,0.114832535885167,0.129186602870813,0.152616279069767,"proximate","Ohio","Q4"
"23",23,"oh5",9,0.703349282296651,209,53,39.6219703907204,242,0.129186602870813,0.186602870813397,0.19047619047619,"proximate","Ohio","Q4"
"1",1,"fl1",122,0.770491803278688,209,19,35.0082530225004,226,0.0478468899521531,0.818181818181818,0.167820421459839,"waterbody","Florida","Q3"
"4",4,"fl2",13,0.804195804195804,209,25,26.1577274627546,194,0.0717703349282297,0.282296650717703,0.132723112128146,"waterbody","Florida","Q3"
"8",8,"fl3",114,0.780114161000588,209,22,33.7335083354196,207,0.0334928229665072,0.698564593301435,0.143863990961425,"waterbody","Florida","Q3"
"10",10,"fl4",122,0.770491803278688,209,19,35.0082530225004,226,0.0478468899521531,0.818181818181818,0.167820421459839,"waterbody","Florida","Q3"
"14",14,"oh1",471,0.663761314113309,209,48,188.878023089484,249,0.631578947368421,0.69377990430622,0.830165289256198,"waterbody","Ohio","Q4"
"16",16,"oh2",471,0.663761314113309,209,48,188.878023089484,249,0.631578947368421,0.69377990430622,0.830165289256198,"waterbody","Ohio","Q4"
"19",19,"oh3",471,0.663761314113309,209,48,188.878023089484,249,0.631578947368421,0.69377990430622,0.830165289256198,"waterbody","Ohio","Q4"
"22",22,"oh4",82433,0.669869461044687,209,7,9.04742175466851,249,0,0.937799043062201,0.0377702878576298,"waterbody","Ohio","Q1"
"24",24,"oh5",82433,0.669869461044687,209,7,9.04742175466851,249,0,0.937799043062201,0.0377702878576298,"waterbody","Ohio","Q1"
"2",2,"fl1",249,0.776656866701255,209,16,34.4031903204489,226,0.0334928229665072,0.84688995215311,0.15490622989757,"watershed","Florida","Q3"
"5",5,"fl2",249,0.776656866701255,209,16,34.4031903204489,226,0.0334928229665072,0.84688995215311,0.15490622989757,"watershed","Florida","Q3"
"9",9,"fl3",249,0.776656866701255,209,16,34.4031903204489,226,0.0334928229665072,0.84688995215311,0.15490622989757,"watershed","Florida","Q3"
"11",11,"fl4",249,0.776656866701255,209,16,34.4031903204489,226,0.0334928229665072,0.84688995215311,0.15490622989757,"watershed","Florida","Q3"
"15",15,"oh1",471,0.663761314113309,209,48,188.878023089484,249,0.631578947368421,0.69377990430622,0.830165289256198,"watershed","Ohio","Q4"
"17",17,"oh2",471,0.663761314113309,209,48,188.878023089484,249,0.631578947368421,0.69377990430622,0.830165289256198,"watershed","Ohio","Q4"
