"","freq","case","unique_id","freq_rank"
"138",0.000556018904642758,"waterbody","120054127",1
"85",0.00255885363357216,"waterbody","16742255",2
"140",0.00917010545621275,"waterbody","13155459",3
"130",0.020911528150134,"waterbody","166758437",4
"134",0.0229158435401027,"waterbody","166764035",5
"63",0.0255667291631157,"waterbody","166757631",6
"57",0.0262216924910608,"waterbody","21489832",7
"133",0.0268270120259019,"waterbody","15660950",8
"17",0.0299127544661404,"waterbody","10988621",9
"62",0.0349730976172175,"waterbody","166757639",10
"127",0.0359231411862991,"waterbody","16875752",11
"42",0.0373242850218129,"waterbody","16628994",12
"139",0.0377702878576298,"waterbody","904140245",13
"107",0.0383448275862069,"waterbody","16793567",14
"12",0.0384940064156677,"waterbody","166757600",15
"91",0.0388964269561285,"waterbody","21472968",16
"125",0.0395121951219512,"waterbody","16798627",17
"11",0.0423838463046461,"waterbody","166757576",18
"75",0.0438851913477537,"waterbody","21483766",19
"4",0.0439381611065907,"waterbody","16632718",20
"21",0.0451075641915337,"waterbody","10988865",21
"122",0.0453662842012357,"waterbody","16949560",22
"131",0.0455777921239509,"waterbody","2161664",23
"94",0.0481082006505735,"waterbody","21477420",24
"73",0.0501183898973954,"waterbody","21473030",25
"136",0.0501193317422434,"waterbody","15623833",26
"35",0.0518114428899561,"waterbody","11010401",27
"60",0.052411575562701,"waterbody","21480452",28
"1",0.054652466367713,"waterbody","16661857",29
"19",0.0547714345902675,"waterbody","10988693",30
"67",0.0554891174360201,"waterbody","166757632",31
"30",0.0557921635434412,"waterbody","10994983",32
"23",0.0584518167456556,"waterbody","10990393",33
"151",0.06015625,"waterbody","5212313",34
"15",0.0603527014684185,"waterbody","10998421",35
"97",0.06158357771261,"waterbody","21475068",36
"98",0.062905317769131,"waterbody","21480894",37
"77",0.0630944096497332,"waterbody","21479670",38
"74",0.0633697281096125,"waterbody","21473632",39
"18",0.0644521566683193,"waterbody","10988623",40
"116",0.0652873563218391,"waterbody","16952822",41
"92",0.065980764929546,"waterbody","21477508",42
"31",0.0663917525773196,"waterbody","16636326",43
"69",0.0671125593094381,"waterbody","21474650",44
"70",0.0673785371062467,"waterbody","21475262",45
"68",0.0674759014637629,"waterbody","21474500",46
"95",0.0707876370887338,"waterbody","21473054",47
"87",0.0732568402471315,"waterbody","21474094",48
"53",0.0744266551276504,"waterbody","21473308",49
"132",0.0749863163656267,"waterbody","15644154",50
"36",0.0755362138638483,"waterbody","16626360",51
"101",0.0759190197123069,"waterbody","21489652",52
"25",0.0760983813327728,"waterbody","10991931",53
"37",0.0776461970455378,"waterbody","120053158",54
"99",0.0795277527260802,"waterbody","21483782",55
"14",0.0809002433090024,"waterbody","166757596",56
"119",0.082512315270936,"waterbody","16835838",57
"144",0.0842332613390929,"waterbody","13152651",58
"121",0.0855106888361045,"waterbody","16793831",59
"86",0.0859554873369148,"waterbody","21473686",60
"27",0.0869486295153385,"waterbody","10992413",61
"46",0.0874015748031496,"waterbody","16665757",62
"55",0.0877212029095647,"waterbody","21477494",63
"52",0.0901757418611351,"waterbody","21480832",64
"111",0.0923076923076923,"waterbody","16802699",65
"59",0.0928196755479904,"waterbody","21484390",66
"118",0.094876660341556,"waterbody","120053781",67
"100",0.0951646090534979,"waterbody","21473290",68
"102",0.0952588081774685,"waterbody","16835656",69
"157",0.0960987436632136,"waterbody","166899204",70
"33",0.0962534267438319,"waterbody","10998171",71
"71",0.0965958684899622,"waterbody","21475362",72
"152",0.0969387755102041,"waterbody","5231452",73
"149",0.0976253298153034,"waterbody","167484603",74
"34",0.0982486647621413,"waterbody","10998263",75
"32",0.100069948413045,"waterbody","10998129",76
"47",0.100964498255695,"waterbody","16666733",77
"96",0.106225014277556,"waterbody","21474332",78
"115",0.106421194431971,"waterbody","21475236",79
"5",0.107245734544649,"waterbody","10996843",80
"2",0.110373019928462,"waterbody","16642706",81
"22",0.112357974470473,"waterbody","10988999",82
"66",0.114354280611675,"waterbody","166757642",83
"112",0.119101840043724,"waterbody","16883070",84
"128",0.120256283883687,"waterbody","16798773",85
"44",0.12041564792176,"waterbody","16667851",86
"39",0.12146529562982,"waterbody","16632904",87
"40",0.122290607439122,"waterbody","16632942",88
"72",0.123149792776791,"waterbody","21481006",89
"45",0.123725356900068,"waterbody","16664393",90
"51",0.125136413241179,"waterbody","120052399",91
"135",0.125741399762752,"waterbody","15651487",92
"90",0.132723112128146,"waterbody","21489752",93
"64",0.140373878505259,"waterbody","166757656",94
"50",0.141058829501041,"waterbody","10996929",95
"56",0.143863990961425,"waterbody","21489802",96
"110",0.144389223123202,"waterbody","16793651",97
"58",0.167820421459839,"waterbody","21489874",98
"156",0.16994750656168,"waterbody","166899203",99
"38",0.170143027413588,"waterbody","16697315",100
"83",0.182874533130447,"waterbody","21480390",101
"148",0.206239460370995,"waterbody","15372030",102
"143",0.218253968253968,"waterbody","166899115",103
"65",0.2454637607704,"waterbody","166757640",104
"153",0.263563049853372,"waterbody","5212351",105
"24",0.26815144766147,"waterbody","120052387",106
"146",0.282051282051282,"waterbody","15408915",107
"8",0.283887468030691,"waterbody","166757602",108
"142",0.291737386205832,"waterbody","13152353",109
"141",0.313376311757394,"waterbody","120053668",110
"123",0.325849651136619,"waterbody","16949596",111
"10",0.328767123287671,"waterbody","166757578",112
"16",0.365273432186097,"waterbody","10996865",113
"89",0.366492949110975,"waterbody","21480294",114
"129",0.368121442125237,"waterbody","16799991",115
"43",0.368957294602211,"waterbody","16629010",116
"150",0.386495176848875,"waterbody","3483493",117
"54",0.397673083164807,"waterbody","21477442",118
"147",0.399283795881826,"waterbody","19390686",119
"61",0.410237862218629,"waterbody","21475652",120
"82",0.426781888494136,"waterbody","21483822",121
"114",0.440510366826156,"waterbody","16946112",122
"13",0.455322057064753,"waterbody","166757573",123
"109",0.477200759974667,"waterbody","16793645",124
"20",0.48850935067771,"waterbody","10988775",125
"79",0.489543618587445,"waterbody","21483830",126
"145",0.491026416616253,"waterbody","15364799",127
"137",0.503376304481277,"waterbody","15585938",128
"113",0.531623931623932,"waterbody","16793819",129
"29",0.55114006514658,"waterbody","16631158",130
"80",0.613562256057398,"waterbody","21491302",131
"154",0.615074958356469,"waterbody","3984810",132
"108",0.654075546719682,"waterbody","16793577",133
"120",0.669180492709904,"waterbody","16793769",134
"78",0.722865234254756,"waterbody","21483808",135
"155",0.727647201356918,"waterbody","166899198",136
"88",0.752508361204013,"waterbody","21480230",137
"41",0.760114425827544,"waterbody","16628898",138
"93",0.775763182238668,"waterbody","21480292",139
"84",0.78302752293578,"waterbody","16757722",140
"126",0.783398970009088,"waterbody","16798691",141
"9",0.797940897070528,"waterbody","166757574",142
"105",0.826944631248599,"waterbody","16905639",143
"158",0.830165289256198,"waterbody","120052700",144
"104",0.831550282046294,"waterbody","16793717",145
"28",0.862198839037838,"waterbody","16631062",146
"3",0.86883569979716,"waterbody","16636112",147
"26",0.874526727191304,"waterbody","16630838",148
"106",0.878410827330277,"waterbody","16952608",149
"7",0.883986789736642,"waterbody","10993179",150
"6",0.900199877625943,"waterbody","16636168",151
"124",0.914189118538915,"waterbody","16798595",152
"103",0.923963820693768,"waterbody","16793707",153
"117",0.946322907861369,"waterbody","16794057",154
"81",0.953364002300172,"waterbody","21475612",155
"48",0.956955348752614,"waterbody","16631376",156
"76",0.983741720320534,"waterbody","120052768",157
"49",0.990798107337987,"waterbody","16632086",158
